No.,FREQUENCY(MHz),Z,D,Cs
456,3.4432,10.4820,0.03505,0.000000004412
457,3.4701,10.3971,0.03531,0.000000004414
458,3.4972,10.3118,0.03552,0.000000004416
459,3.5245,10.2281,0.03572,0.000000004418
460,3.5520,10.1451,0.03593,0.000000004419
461,3.5797,10.0627,0.03619,0.000000004421
462,3.6077,9.98002,0.03647,0.000000004423
463,3.6358,9.89908,0.03662,0.000000004425
464,3.6642,9.8184,0.03685,0.000000004427
465,3.6929,9.7372,0.03713,0.000000004429
466,3.7217,9.65765,0.03736,0.000000004431
467,3.7507,9.57913,0.03754,0.000000004433
468,3.7800,9.50061,0.03782,0.000000004435
469,3.8095,9.42276,0.0381,0.000000004437
470,3.8393,9.34484,0.03829,0.000000004439
471,3.8693,9.26775,0.03855,0.000000004442
472,3.8995,9.19169,0.03881,0.000000004444
473,3.9299,9.11552,0.03901,0.000000004446
474,3.9606,9.04049,0.03931,0.000000004448
475,3.9915,8.96606,0.03957,0.000000004451
476,4.0227,8.89153,0.03982,0.000000004453
477,4.0541,8.81771,0.04006,0.000000004456
478,4.0858,8.74488,0.04036,0.000000004458
479,4.1177,8.6725,0.04057,0.00000000446
480,4.1498,8.60005,0.04088,0.000000004463
481,4.1822,8.52888,0.04118,0.000000004466
482,4.2149,8.45777,0.04141,0.000000004468
483,4.2478,8.38684,0.04167,0.000000004471
484,4.2810,8.3169,0.04196,0.000000004474
485,4.3144,8.24773,0.04223,0.000000004477
486,4.3481,8.17841,0.04254,0.00000000448
487,4.3820,8.11013,0.04282,0.000000004482
488,4.4163,8.04172,0.04316,0.000000004486
489,4.4507,7.97448,0.0434,0.000000004488
490,4.4855,7.90714,0.04366,0.000000004492
491,4.5205,7.83998,0.04402,0.000000004495
492,4.5558,7.77442,0.04426,0.000000004498
493,4.5914,7.70849,0.04457,0.000000004501
494,4.6272,7.64311,0.04486,0.000000004505
495,4.6634,7.57875,0.04524,0.000000004508
496,4.6998,7.51404,0.04553,0.000000004511
497,4.7365,7.45023,0.04587,0.000000004515
498,4.7735,7.38669,0.04615,0.000000004519
499,4.8107,7.32418,0.04649,0.000000004522
500,4.8483,7.26105,0.04686,0.000000004526
501,4.8862,7.1989,0.04714,0.00000000453
502,4.9243,7.1376,0.04747,0.000000004533
503,4.9628,7.07649,0.0478,0.000000004537
504,5.0015,7.01501,0.04809,0.000000004541
505,5.0406,6.9545,0.0484,0.000000004545
506,5.0799,6.89462,0.04876,0.00000000455
507,5.1196,6.83544,0.04907,0.000000004553
508,5.1596,6.77599,0.04942,0.000000004558
509,5.1999,6.71727,0.04987,0.000000004562
510,5.2405,6.65845,0.05024,0.000000004567
511,5.2814,6.60066,0.05057,0.000000004571
512,5.3226,6.54312,0.05094,0.000000004576
513,5.3642,6.48549,0.05138,0.000000004581
514,5.4061,6.42879,0.05169,0.000000004586
515,5.4483,6.37266,0.05204,0.00000000459
516,5.4908,6.31629,0.05241,0.000000004595
517,5.5337,6.26053,0.05283,0.0000000046
518,5.5769,6.20553,0.0533,0.000000004605
519,5.6204,6.15044,0.05362,0.000000004611
520,5.6643,6.09564,0.05408,0.000000004616
521,5.7086,6.0416,0.05442,0.000000004621
522,5.7531,5.98818,0.05484,0.000000004627
523,5.7981,5.93507,0.05529,0.000000004632
524,5.8433,5.88164,0.05572,0.000000004638
525,5.8890,5.82838,0.05611,0.000000004644
526,5.9349,5.7765,0.05653,0.00000000465
527,5.9813,5.72406,0.05699,0.000000004656
528,6.0280,5.67237,0.05739,0.000000004662
529,6.0750,5.6213,0.05787,0.000000004668
530,6.1225,5.56982,0.05834,0.000000004675
531,6.1703,5.5194,0.05877,0.000000004681
532,6.2185,5.46893,0.05928,0.000000004688
533,6.2670,5.41857,0.0598,0.000000004695
534,6.3160,5.36843,0.06024,0.000000004702
535,6.3653,5.31957,0.06072,0.000000004709
536,6.4150,5.26989,0.06133,0.000000004717
537,6.4651,5.22131,0.06181,0.000000004724
538,6.5155,5.1734,0.06235,0.000000004731
539,6.5664,5.12509,0.06266,0.000000004739
540,6.6177,5.07661,0.06335,0.000000004747
541,6.6694,5.02918,0.06387,0.000000004755
542,6.7214,4.98158,0.06449,0.000000004763
543,6.7739,4.93461,0.06499,0.000000004771
544,6.8268,4.88792,0.06562,0.00000000478
545,6.8801,4.84186,0.06596,0.000000004788
546,6.9339,4.79554,0.06672,0.000000004797
547,6.9880,4.74957,0.0673,0.000000004806
548,7.0426,4.70353,0.06782,0.000000004816
549,7.0975,4.65932,0.06845,0.000000004824
550,7.1530,4.61408,0.06914,0.000000004834
551,7.2088,4.56936,0.06964,0.000000004843
552,7.2651,4.5242,0.07026,0.000000004854
553,7.3218,4.48081,0.07096,0.000000004863
554,7.3790,4.43694,0.07164,0.000000004874
555,7.4366,4.39331,0.0723,0.000000004884
556,7.4947,4.34987,0.07292,0.000000004895
557,7.5532,4.30656,0.0735,0.000000004906
558,7.6122,4.26393,0.07438,0.000000004917
559,7.6716,4.22124,0.07504,0.000000004928
560,7.7315,4.17949,0.07583,0.000000004939
561,7.7919,4.13731,0.07655,0.000000004951
562,7.8527,4.09505,0.0774,0.000000004964
563,7.9141,4.05381,0.07797,0.000000004976
564,7.9759,4.01261,0.07878,0.000000004988
565,8.0381,3.97099,0.07952,0.000000005002
566,8.1009,3.93013,0.08046,0.000000005015
567,8.1642,3.88985,0.08118,0.000000005028
568,8.2279,3.84877,0.08203,0.000000005043
569,8.2921,3.80905,0.08286,0.000000005056
570,8.3569,3.76947,0.08389,0.00000000507
571,8.4221,3.72955,0.08472,0.000000005085
572,8.4879,3.68928,0.08561,0.000000005101
573,8.5542,3.65091,0.08645,0.000000005115
574,8.6210,3.61133,0.08737,0.000000005132
575,8.6883,3.57257,0.08836,0.000000005147
576,8.7561,3.53469,0.08929,0.000000005163
577,8.8245,3.49579,0.09018,0.00000000518
578,8.8934,3.45734,0.09134,0.000000005198
579,8.9629,3.41989,0.09227,0.000000005214
580,9.0328,3.3823,0.09327,0.000000005232
581,9.1034,3.34463,0.09437,0.00000000525
582,9.1745,3.30743,0.09526,0.000000005269
