No.,FREQUENCY(MHz),Z,D,PH
460,3.5520,1.5185,0.76177,-52.7010
461,3.5797,1.50436,0.76777,-52.4840
462,3.6077,1.49107,0.77534,-52.2120
463,3.6358,1.47812,0.78175,-51.9830
464,3.6642,1.46462,0.78926,-51.7170
465,3.6929,1.45153,0.79566,-51.4920
466,3.7217,1.4378,0.80287,-51.2400
467,3.7507,1.42473,0.81052,-50.9740
468,3.7800,1.41162,0.81745,-50.7360
469,3.8095,1.39897,0.82578,-50.4510
470,3.8393,1.38608,0.83395,-50.1740
471,3.8693,1.37293,0.84223,-49.8950
472,3.8995,1.35996,0.85051,-49.6190
473,3.9299,1.34719,0.85884,-49.3430
474,3.9606,1.33454,0.86795,-49.0440
475,3.9915,1.3220,0.87686,-48.7540
476,4.0227,1.30914,0.88671,-48.4360
477,4.0541,1.29634,0.89641,-48.1270
478,4.0858,1.28412,0.90602,-47.8230
479,4.1177,1.27185,0.9163,-47.5010
480,4.1498,1.25858,0.92631,-47.1910
481,4.1822,1.24692,0.93764,-46.8430
482,4.2149,1.23483,0.94932,-46.4890
483,4.2478,1.22213,0.9605,-46.1540
484,4.2810,1.20996,0.9727,-45.7930
485,4.3144,1.19808,0.98435,-45.4520
486,4.3481,1.18576,0.99828,-45.0490
487,4.3820,1.17412,1.01092,-44.6890
488,4.4163,1.16197,1.02428,-44.3130
489,4.4507,1.15067,1.03913,-43.9010
490,4.4855,1.13914,1.05393,-43.4960
491,4.5205,1.12723,1.06936,-43.0800
492,4.5558,1.11526,1.08484,-42.6700
493,4.5914,1.10398,1.10078,-42.2530
494,4.6272,1.09215,1.11783,-41.8160
495,4.6634,1.08094,1.13336,-41.4230
496,4.6998,1.06964,1.15301,-40.9350
497,4.7365,1.05875,1.1714,-40.4870
498,4.7735,1.04743,1.19129,-40.0110
499,4.8107,1.03631,1.21168,-39.5330
500,4.8483,1.02557,1.23484,-39.0010
501,4.8862,1.01465,1.25645,-38.5160
