Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
3.400000e+08,-2.299805e+00,-4.052734e+00,-5.590820e+00,-6.967773e+00
3.413333e+08,-2.314453e+00,-4.033203e+00,-5.600586e+00,-6.943359e+00
3.426667e+08,-2.329102e+00,-4.057617e+00,-5.581055e+00,-6.953125e+00
3.440000e+08,-2.290039e+00,-4.042969e+00,-5.571289e+00,-6.914062e+00
3.453333e+08,-2.309570e+00,-4.047852e+00,-5.600586e+00,-6.918945e+00
3.466667e+08,-2.319336e+00,-4.086914e+00,-5.620117e+00,-6.972656e+00
3.480000e+08,-2.285156e+00,-4.042969e+00,-5.566406e+00,-6.899414e+00
3.493333e+08,-2.280273e+00,-4.028320e+00,-5.600586e+00,-6.928711e+00
3.506667e+08,-2.304688e+00,-4.047852e+00,-5.585938e+00,-6.943359e+00
3.520000e+08,-2.314453e+00,-4.077148e+00,-5.615234e+00,-6.977539e+00
3.533333e+08,-2.294922e+00,-4.042969e+00,-5.571289e+00,-6.967773e+00
3.546667e+08,-2.314453e+00,-4.082031e+00,-5.634766e+00,-7.026367e+00
3.560000e+08,-2.309570e+00,-4.052734e+00,-5.615234e+00,-7.006836e+00
